342580;Wally Bunker;0,9689;1,0
342587;Dave Burba;0,9689;1,0
342597;Lew Burdette;0,9698;1,0
342604;Jake Burger;0,9799;0,75
342607;Smoky Burgess;0,9876;1,0
342640;John Burkett;0,982;1,0
342656;Rick Burleson;0,9716;0,963
342657;A. J. Burnett;0,9259;1,0
342659;Corbin Burnes;0,9261;1,0
342672;Britt Burns;0,9371;1,0
342678;Ed Burns;0,9731;0,973
342681;George Burns;0,9863;0,975
342707;Ray Burris;0,9521;1,0
342714;Sean Burroughs;0,9609;1,0
342741;Michael Busch;0,9944;1,0
342743;Dave Bush;0,9815;1,0
342744;Donie Bush;0,9366;0,8438
342748;Guy Bush;0,9738;1,0
342751;Bullet Joe Bush;0,9687;0,9474
342767;Drew Butera;0,992;0,9412
342768;Sal Butera;0,9777;1,0
342804;Tommy Butts;0,9386;0,9792
342809;Subby Byas;0,9671;1,0
342817;Bill Byrd;0,9588;1,0
342823;Paul Byrd;0,9241;1,0
342825;Bobby Byrne;0,9335;1,0
342831;Tommy Byrne;0,9431;1,0
342833;Marty Bystrom;0,9375;1,0
342834;José Caballero;0,9728;1,0
342838;Enos Cabell;0,9767;1,0
342843;Asdrubal Cabrera;0,9788;0,9808
342849;Francisco Cabrera;0,9872;1,0
342850;Genesis Cabrera;1,0;1,0
342853;Lorenzo Cabrera;0,9848;1,0
342857;Miguel Cabrera;0,9878;0,9831
342858;Orlando Cabrera;0,9771;0,9794
342859;Oswaldo Cabrera;0,9733;1,0
342868;Leon Cadore;0,9588;1,0
342870;Forrest Cady;0,9799;0,9865
342882;Matt Cain;0,9549;0,8333
342886;Miguel Cairo;0,9821;1,0
342896;Mike Caldwell;0,9762;0,9167
342899;Kiko Calero;0,9796;1,0
342904;Lefty Calhoun;0,9765;1,0
342911;Alberto Callaspo;0,9693;1,0
342940;Johan Camargo;0,9734;1,0
342948;Dolph Camilli;0,9905;1,0
342953;Ken Caminiti;0,9478;0,8696
342956;Howie Camnitz;0,9466;1,0
342958;Bert Campaneris;0,9631;0,9708
342961;Roy Campanella;0,9866;0,9829
342966;Bill Campbell;0,9572;1,0
343023;John Candelaria;0,973;1,0
343025;Tom Candiotti;0,9737;1,0
343029;Avelino Cañizares;0,9554;1,0
343032;Walter Cannady;0,9434;0,8333
343041;Robinson Cano;0,9876;0,9819
343042;Yennier Cano;0,9851;1,0
343049;Jorge Cantu;0,9725;1,0
343073;Victor Caratini;0,995;1,0
343080;Jose Cardenal;0,9775;1,0
343081;Leo Cardenas;0,9703;0,9348
343087;Rod Carew;0,9851;0,989
343088;Andy Carey;0,9572;0,9444
343102;Tex Carleton;0,9683;1,0
343106;Matt Carlisle;0,9399;0,9259
343114;Hal Carlson;0,9711;1,0
343119;Steve Carlton;0,952;1,0
343127;Roberto Hernandez;0,9818;1,0
343137;Chris Carpenter;0,9776;0,9286
343141;David Carpenter;0,9394;1,0
343146;Matt Carpenter;0,9787;0,965
343150;Mike Carp;0,9902;1,0
343152;Carlos Carrasco;0,9648;1,0
343162;Clemente Carreras;0,9331;1,0
343166;George Carr;0,9703;0,9478
343170;Bill Carrigan;0,9715;1,0
343179;Clay Carroll;0,9711;1,0
343187;Jamey Carroll;0,9836;1,0
343202;Frank Carswell;1,0;1,0
343212;Chris Carter;0,9901;1,0
343216;Gary Carter;0,9908;1,0
343220;Joe Carter;0,9812;1,0
343228;Paul Carter;0,949;1,0
343230;Spoon Carter;0,9282;1,0
343243;Curt Casali;0,9923;1,0
343253;Bill Casey;0,9671;1,0
343258;Hugh Casey;0,9778;1,0
343261;Sean Casey;0,9954;1,0
343263;Dave Cash;0,9833;0,9821
343265;Kevin Cash;0,9928;1,0
343267;Norm Cash;0,9921;0,9815
343291;Nick Castellanos;0,9785;1,0
343296;Bobby Castillo;0,953;1,0
343300;Diego Castillo;0,8947;1,0
343314;Luis Castillo;0,9843;1,0
343315;Luis Castillo;0,9871;1,0
343318;Marty Castillo;0,9769;1,0
343323;Tony Castillo;0,9645;1,0
343325;Vinny Castilla;0,9665;0,9516
343342;Jason Castro;0,9953;1,0
343343;Juan Castro;0,9765;1,0
343347;Miguel Castro;0,9318;1,0
343352;Starlin Castro;0,9676;0,9778
343374;Phil Cavarretta;0,9889;0,9928
343380;Dylan Cease;0,937;1,0
343386;Brett Cecil;0,9307;1,0
343391;Cesar Cedeno;0,9855;0,9756
343399;Juan Centeno;0,9857;1,0
343401;Orlando Cepeda;0,989;0,989
343406;Rick Cerone;0,9902;0,9925
343408;John Cerutti;0,9757;1,0
343410;Francisco Cervelli;0,9904;1,0
343415;Ron Cey;0,9614;0,9621
343418;Jhoulys Chacin;0,9584;1,0
343419;Elio Chacon;0,9706;1,0
343428;Dave Chalk;0,9594;1,0
343429;George Chalmers;0,9486;1,0
343434;Chris Chambliss;0,9932;0,9925
343442;Joba Chamberlain;0,9802;1,0
343450;Frank Chance;0,984;0,9956
343454;Spud Chandler;0,98;1,0
343455;Darrel Chaney;0,9603;0,9492
343466;Aroldis Chapman;0,8764;0,75
343481;Matt Chapman;0,9705;1,0
343492;Ed Charles;0,9573;1,0
343494;Norm Charlton;0,9227;1,0
343495;Oscar Charleston;0,9787;0,9844
343513;Eric Chavez;0,9706;0,945
343514;Jesse Chavez;0,9603;1,0
343516;Raul Chavez;0,9928;0,9688
343527;Larry Cheney;0,9236;0,0
343528;Tom Cheney;0,9176;1,0
343530;Wei-Yin Chen;0,9836;1,0
343560;Robinson Chirinos;0,9938;1,0
343562;Lonnie Chisenhall;0,9608;0,8
343563;Jazz Chisholm;0,9667;0,9464
343573;Randy Choate;0,959;0,75
343576;Ji-Man Choi;0,994;1,0
343589;Jason Christiansen;0,9012;1,0
343593;Larry Christenson;0,9161;0,3333
343596;Mark Christman;0,9733;0,9231
343614;Chuck Churn;1,0;1,0
343618;Archi Cianfrocco;0,9781;1,0
343623;Eddie Cicotte;0,9415;0,8125
343631;Tony Cingrani;0,95;1,0
343636;Jeff Cirillo;0,97;1,0
343644;Aaron Civale;0,9485;1,0
343653;Jim Clancy;0,9492;1,0
343700;Jack Clark;0,9863;1,0
343709;Mark Clark;0,9722;1,0
343733;Tony Clark;0,9926;0,9872
343738;Will Clark;0,9925;0,99
343743;Emmanuel Clase;0,8889;1,0
343746;Alex Claudio;1,0;1,0
343756;Ken Clay;0,9359;1,0
343759;Royce Clayton;0,9738;0,95
343760;Zack Clayton;0,9885;1,0
343772;Ernie Clement;0,9731;1,0
343776;Matt Clement;0,9414;1,0
343780;Roger Clemens;0,9728;0,9318
