Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Andrew McCutchen;2;Rondell White;0,8393
Andrew McCutchen;3;Andrelton Simmons;0,8374
Andrew McCutchen;4;Carson Bigbee;0,8304
Andrew McCutchen;5;Freddie Lindstrom;0,8299
Andruw Jones;1;Walker Cooper;0,948
Andruw Jones;2;Mike Matheny;0,8753
Andruw Jones;3;Bibb Falk;0,8469
Andruw Jones;4;Ossie Bluege;0,8465
Andruw Jones;5;Buck Weaver;0,8263
Andy High;1;Roy Howell;0,9091
Andy High;2;Billy Goodman;0,9054
Andy High;3;Joe Sewell;0,9002
Andy High;4;Bingo DeMoss;0,8951
Andy High;5;Vince DiMaggio;0,8892
Andy Pafko;1;Ray Lankford;0,9125
Andy Pafko;2;Skeeter Newsome;0,9118
Andy Pafko;3;Jack Graney;0,8687
Andy Pafko;4;Al Zarilla;0,8604
Andy Pafko;5;Roy Cullenbine;0,8547
Andy Seminick;1;Ryan Zimmerman;0,8994
Andy Seminick;2;Jason Kipnis;0,871
Andy Seminick;3;Fred Dunlap;0,85
Andy Seminick;4;Keith Hernandez;0,829
Andy Seminick;5;Babe Herman;0,8191
Andy Van Slyke;1;Willie Crawford;0,8567
Andy Van Slyke;2;John Shelby;0,8544
Andy Van Slyke;3;Tito Fuentes;0,8475
Andy Van Slyke;4;Roberto Kelly;0,827
Andy Van Slyke;5;Frank LaPorte;0,8248
Angel Pagan;1;Austin Kearns;0,9516
Angel Pagan;2;Tommy Henrich;0,8903
Angel Pagan;3;Jim Gantner;0,8671
Angel Pagan;4;Glenn Wilson;0,862
Angel Pagan;5;B. J. Upton;0,8587
Anthony Rendon;1;Davey Lopes;0,9398
Anthony Rendon;2;Gary Gaetti;0,9323
Anthony Rendon;3;Bob Boone;0,8943
Anthony Rendon;4;Granny Hamner;0,8643
Anthony Rendon;5;Charlie Ganzel;0,863
Anthony Rizzo;1;Brian McRae;0,9216
Anthony Rizzo;2;Jackie Robinson;0,8989
Anthony Rizzo;3;Mike Piazza;0,8969
Anthony Rizzo;4;George Shoch;0,8813
